Altitude,Temperature,Pressure,Density,Viscosity
66,228.65,8.55270139752026,0.000130309042233119,1.48679326061509e-05
67,225.85,7.35890088271906,0.000113510309370184,1.47172061518723e-05
68,223.05,6.3198690992364,9.87070799195443e-05,1.4565659175229e-05
69,220.25,5.41711579232206,8.56829973590929e-05,1.44132816268515e-05
70,217.45,4.63416711916166,7.42428659334046e-05,1.42600633210454e-05
71,214.65,3.96,6.42697694358538e-05,1.41059939366198e-05
72,212.65,3.37480831235369,5.52874006389652e-05,1.39954175213629e-05
73,210.65,2.87175105672349,4.74928000160003e-05,1.38843976987753e-05
74,208.65,2.43992065275001,4.07380055376272e-05,1.37729305827848e-05
75,206.65,2.06977419480405,3.48923328891782e-05,1.36610122535357e-05
76,204.65,1.75297339764252,2.98404951561872e-05,1.35486387578784e-05
77,202.65,1.48224203789314,2.54809119334837e-05,1.34358061099304e-05
78,200.65,1.25123912092524,2.17241903358631e-05,1.33225102917155e-05
79,198.65,1.05444616717557,1.84917618620966e-05,1.32087472538879e-05
80,196.65,0.88706716260922,1.57146604264386e-05,1.30945129165454e-05
81,194.65,0.744939855761976,1.33324281302758e-05,1.29798031701421e-05
82,192.65,0.624457209715676,1.12921365081512e-05,1.28646138765043e-05
83,190.65,0.522497932320165,9.54751205369331e-06,1.27489408699613e-05
84,188.65,0.436365112848793,8.05815581818806e-06,1.26327799585977e-05
85,186.65,0.363732088854807,6.78884778350109e-06,1.2516126925637e-05
86,184.65,0.302594754023606,5.70892754726714e-06,1.23989775309672e-05
